ISCR_YERPS	GO:0005575|0.727	GO:0110165|0.709	GO:0008150|0.786	GO:0009987|0.383
RS26A_SCHPO	GO:0005575|0.686	GO:0110165|0.620	GO:0008150|0.733	GO:0009987|0.306
YJFF_ECOLI	GO:0005575|0.761	GO:0110165|0.705	GO:0008150|0.702
KKCC1_MOUSE	GO:0005575|0.830	GO:0110165|0.797	GO:0008150|0.839	GO:0009987|0.517
SKSP5_ASCTR	GO:0005575|0.510	GO:0110165|0.412	GO:0008150|0.866	GO:0009987|0.376	GO:0050896|0.412	GO:0050789|0.414	GO:0065007|0.463	GO:0006950|0.387
EXO5_SCHPO	GO:0005575|0.742	GO:0110165|0.713	GO:0008150|0.843	GO:0009987|0.406
NMNA1_MOUSE	GO:0005575|0.853	GO:0110165|0.815	GO:0008150|0.866	GO:0009987|0.518
LAZY3_ARATH	GO:0005575|0.879	GO:0110165|0.841	GO:0008150|0.821	GO:0009987|0.507
FWCH2_HUMAN	GO:0005575|0.892	GO:0110165|0.874	GO:0008150|0.803	GO:0009987|0.434
DJB11_MOUSE	GO:0005575|0.771	GO:0110165|0.729	GO:0008150|0.852	GO:0009987|0.380
AROF_SCHPO	GO:0005575|0.614	GO:0110165|0.595	GO:0008150|0.746
PT148_ARATH	GO:0005575|0.722	GO:0110165|0.710	GO:0008150|0.780	GO:0009987|0.303
LDLR_MOUSE	GO:0005575|0.854	GO:0110165|0.835	GO:0008150|0.833	GO:0009987|0.347
DCE2_ARATH	GO:0005575|0.654	GO:0110165|0.619	GO:0008150|0.778	GO:0009987|0.305
ACH1_SCHPO	GO:0005575|0.729	GO:0110165|0.715	GO:0008150|0.751
ASNH_MYCTU	GO:0005575|0.592	GO:0110165|0.537	GO:0008150|0.651
GGA2_YEAST	GO:0005575|0.837	GO:0110165|0.825	GO:0008150|0.828	GO:0009987|0.367
IKZF1_MOUSE	GO:0005575|0.684	GO:0110165|0.677	GO:0008150|0.859	GO:0009987|0.423
PB27A_ARATH	GO:0005575|0.760	GO:0110165|0.717	GO:0008150|0.577
7DLH_CATRO	GO:0005575|0.779	GO:0110165|0.739	GO:0008150|0.823	GO:0009987|0.337
ARLY1_CHICK	GO:0005575|0.852	GO:0110165|0.831	GO:0008150|0.731	GO:0009987|0.347
GSTA_BPT4	GO:0005575|0.679	GO:0110165|0.609	GO:0008150|0.768	GO:0009987|0.334
BTHD_DROME	GO:0005575|0.817	GO:0110165|0.796	GO:0008150|0.772	GO:0009987|0.405
PPA4_SCHPO	GO:0005575|0.736	GO:0110165|0.668	GO:0008150|0.818	GO:0009987|0.347
HCAF_ECOLI	GO:0005575|0.615	GO:0110165|0.559	GO:0008150|0.774
GON4L_HUMAN	GO:0005575|0.895	GO:0110165|0.874	GO:0008150|0.883	GO:0009987|0.470
YGBE_ECOLI	GO:0005575|0.627	GO:0110165|0.570	GO:0008150|0.824	GO:0009987|0.353
RTR2_YEAST	GO:0005575|0.639	GO:0110165|0.584	GO:0008150|0.738
YD03_SCHPO	GO:0005575|0.767	GO:0110165|0.751	GO:0008150|0.656
GSHR_PLAF7	GO:0005575|0.805	GO:0110165|0.777	GO:0008150|0.757
PRPB_SHEON	GO:0005575|0.525	GO:0110165|0.472	GO:0008150|0.747
GAL10_SCHPO	GO:0005575|0.619	GO:0110165|0.550	GO:0008150|0.862	GO:0009987|0.379
COX12_SCHPO	GO:0005575|0.607	GO:0110165|0.467	GO:0008150|0.792	GO:0009987|0.347
PHLP2_DICDI	GO:0005575|0.887	GO:0110165|0.879	GO:0008150|0.746	GO:0009987|0.381
BANP_MOUSE	GO:0005575|0.739	GO:0110165|0.726	GO:0008150|0.812	GO:0009987|0.348
GBLP_SCHPO	GO:0005575|0.714	GO:0110165|0.714	GO:0008150|0.647
CSPG5_RAT	GO:0005575|0.876	GO:0110165|0.867	GO:0008150|0.822	GO:0009987|0.353
PMEI9_ARATH	GO:0005575|0.659	GO:0110165|0.581	GO:0008150|0.875	GO:0009987|0.450
LRC57_HUMAN	GO:0005575|0.779	GO:0110165|0.715	GO:0008150|0.641
RN133_MOUSE	GO:0005575|0.755	GO:0110165|0.714	GO:0008150|0.813	GO:0009987|0.326
OAT_HUMAN	GO:0005575|0.752	GO:0110165|0.692	GO:0008150|0.811	GO:0009987|0.329
TTM2_ARATH	GO:0005575|0.803	GO:0110165|0.780	GO:0008150|0.845	GO:0009987|0.414
GP182_HUMAN	GO:0005575|0.756	GO:0110165|0.745	GO:0008150|0.869	GO:0009987|0.463
IF4E4_ARATH	GO:0005575|0.655	GO:0110165|0.646	GO:0008150|0.668
RCI2A_ARATH	GO:0005575|0.593	GO:0110165|0.533	GO:0008150|0.595
PROFX_ORYSI	GO:0005575|0.484	GO:0110165|0.425	GO:0003674|0.330	GO:0008150|0.892	GO:0009987|0.486
TCPA_BOVIN	GO:0005575|0.825	GO:0110165|0.805	GO:0008150|0.796	GO:0009987|0.416
BORE2_XENLA	GO:0005575|0.889	GO:0110165|0.870	GO:0008150|0.848	GO:0009987|0.489
TR11B_HUMAN	GO:0005575|0.801	GO:0110165|0.722	GO:0008150|0.916	GO:0009987|0.593
IC1_HUMAN	GO:0005575|0.902	GO:0110165|0.888	GO:0008150|0.863	GO:0071944|0.348	GO:0009987|0.459
KLH17_RAT	GO:0005575|0.665	GO:0110165|0.665	GO:0008150|0.844	GO:0009987|0.369
SWR1_SCHPO	GO:0005575|0.812	GO:0110165|0.757	GO:0008150|0.856	GO:0009987|0.450
PTPC1_HUMAN	GO:0005575|0.780	GO:0110165|0.726	GO:0008150|0.798	GO:0009987|0.366
CAID_ECOLI	GO:0005575|0.589	GO:0110165|0.544	GO:0008150|0.782	GO:0009987|0.359
MLRM_CHICK	GO:0005575|0.621	GO:0110165|0.531	GO:0008150|0.689
GGPPS_MYCTU	GO:0005575|0.661	GO:0110165|0.601	GO:0008150|0.709
ZCH24_HUMAN	GO:0005575|0.624	GO:0110165|0.605	GO:0008150|0.896	GO:0009987|0.423
PCH2_ORYSJ	GO:0005575|0.822	GO:0110165|0.806	GO:0008150|0.875	GO:0009987|0.534
YPT11_YEAST	GO:0005575|0.827	GO:0110165|0.799	GO:0008150|0.857	GO:0009987|0.494
TPIS_DROME	GO:0005575|0.623	GO:0110165|0.560	GO:0008150|0.701
CYSNC_MYCTU	GO:0005575|0.645	GO:0110165|0.591	GO:0008150|0.854	GO:0009987|0.443
HS71B_RAT	GO:0005575|0.770	GO:0110165|0.762	GO:0008150|0.743
KTAP2_AEDAE	GO:0005575|0.736	GO:0110165|0.714	GO:0008150|0.849	GO:0009987|0.408
MGL_ARATH	GO:0005575|0.616	GO:0110165|0.572	GO:0008150|0.808	GO:0009987|0.316
FAP1_ARATH	GO:0005575|0.839	GO:0110165|0.807	GO:0008150|0.831	GO:0009987|0.460
IF3_ECOLI	GO:0005575|0.681	GO:0110165|0.635	GO:0008150|0.771	GO:0009987|0.324
DUSPR_DICDI	GO:0005575|0.835	GO:0110165|0.810	GO:0008150|0.792	GO:0009987|0.374
UL52_HCMVM	GO:0005575|0.758	GO:0110165|0.722	GO:0008150|0.884	GO:0009987|0.535
EGR2_RAT	GO:0005575|0.783	GO:0110165|0.727	GO:0008150|0.806	GO:0009987|0.429
GPC1_RAT	GO:0005575|0.606	GO:0110165|0.554	GO:0008150|0.782	GO:0009987|0.314
EPAS1_HUMAN	GO:0005575|0.838	GO:0110165|0.833	GO:0008150|0.803	GO:0009987|0.331
NU154_DROME	GO:0005575|0.788	GO:0110165|0.711	GO:0008150|0.870	GO:0009987|0.428
IBB4_LATSA	GO:0005575|0.482	GO:0110165|0.405	GO:0008150|0.918	GO:0009987|0.405	GO:0050896|0.414	GO:0050789|0.312	GO:0065007|0.312
AVTA_MYCTU	GO:0005575|0.637	GO:0110165|0.614	GO:0008150|0.807
AROC_HELPY	GO:0005575|0.683	GO:0110165|0.632	GO:0008150|0.735
ACLB1_ARATH	GO:0005575|0.769	GO:0110165|0.712	GO:0008150|0.794	GO:0009987|0.319
NAC10_ORYSJ	GO:0005575|0.722	GO:0110165|0.698	GO:0008150|0.758
CHI1_CANAL	GO:0005575|0.846	GO:0110165|0.807	GO:0008150|0.898	GO:0009987|0.454
NAC81_ARATH	GO:0005575|0.590	GO:0110165|0.544	GO:0008150|0.842	GO:0009987|0.396
OTE_DROME	GO:0005575|0.940	GO:0110165|0.934	GO:0008150|0.595	GO:0016020|0.529	GO:0071944|0.404	GO:0005886|0.374
KR198_HUMAN	GO:0005575|0.437	GO:0110165|0.384	GO:0008150|0.903	GO:0009987|0.360
IDM2L_ARATH	GO:0005575|0.680	GO:0110165|0.647	GO:0008150|0.738
CSPA_MYCTU	GO:0005575|0.658	GO:0110165|0.620	GO:0008150|0.786
TAT2_ARATH	GO:0005575|0.808	GO:0110165|0.795	GO:0008150|0.672
RCNB_ECOLI	GO:0005575|0.606	GO:0110165|0.518	GO:0008150|0.701
FNDC4_MOUSE	GO:0005575|0.736	GO:0110165|0.665	GO:0008150|0.842	GO:0009987|0.384
CENPA_CANAL	GO:0005575|0.779	GO:0110165|0.737	GO:0008150|0.898	GO:0009987|0.591	GO:0065007|0.314
SUR1_ARATH	GO:0005575|0.836	GO:0110165|0.775	GO:0008150|0.666
MSL1_MOUSE	GO:0005575|0.888	GO:0110165|0.863	GO:0008150|0.860	GO:0009987|0.495
RPOM_YEAST	GO:0005575|0.760	GO:0110165|0.728	GO:0008150|0.752
LIPL_MOUSE	GO:0005575|0.673	GO:0110165|0.636	GO:0008150|0.830	GO:0009987|0.351
BRCA1_HUMAN	GO:0005575|0.825	GO:0110165|0.812	GO:0008150|0.876	GO:0009987|0.489
O10H5_HUMAN	GO:0005575|0.659	GO:0110165|0.658	GO:0008150|0.841	GO:0009987|0.339
AMP20_XENBU	GO:0005575|0.553	GO:0110165|0.553	GO:0003674|0.309	GO:0008150|0.942	GO:0009987|0.511	GO:0050896|0.661	GO:0050789|0.613	GO:0065007|0.686	GO:0006950|0.586	GO:0006952|0.418	GO:0005576|0.553
SC5A6_RAT	GO:0005575|0.897	GO:0110165|0.878	GO:0008150|0.810	GO:0016020|0.318	GO:0009987|0.304
REP_TLCVA	GO:0005575|0.758	GO:0110165|0.730	GO:0008150|0.757	GO:0009987|0.326
WRK70_SOLLC	GO:0005575|0.711	GO:0110165|0.625	GO:0008150|0.795	GO:0009987|0.306
PRP39_SCHPO	GO:0005575|0.753	GO:0110165|0.663	GO:0008150|0.808	GO:0009987|0.346
4CL2_ARATH	GO:0005575|0.826	GO:0110165|0.805	GO:0008150|0.734	GO:0009987|0.354
EXD1_MOUSE	GO:0005575|0.808	GO:0110165|0.802	GO:0008150|0.814	GO:0009987|0.354
RNZ1_ARATH	GO:0005575|0.720	GO:0110165|0.704	GO:0008150|0.699
HPPD_ARATH	GO:0005575|0.653	GO:0110165|0.650	GO:0008150|0.728
ROBO1_HUMAN	GO:0005575|0.879	GO:0110165|0.821	GO:0008150|0.836	GO:0009987|0.337
IF2M_HUMAN	GO:0005575|0.727	GO:0110165|0.688	GO:0008150|0.774	GO:0009987|0.302
LS14B_HUMAN	GO:0005575|0.826	GO:0110165|0.787	GO:0008150|0.811	GO:0009987|0.340
NU189_SCHPO	GO:0005575|0.863	GO:0110165|0.839	GO:0008150|0.849	GO:0009987|0.385
PSB3_SCHPO	GO:0005575|0.673	GO:0110165|0.610	GO:0008150|0.919	GO:0009987|0.546
AB12I_ARATH	GO:0005575|0.793	GO:0110165|0.748	GO:0008150|0.767	GO:0009987|0.304
KLF17_MOUSE	GO:0005575|0.707	GO:0110165|0.656	GO:0008150|0.880	GO:0009987|0.423
MSBP2_ARATH	GO:0005575|0.846	GO:0110165|0.814	GO:0008150|0.610
PO2F3_HUMAN	GO:0005575|0.789	GO:0110165|0.783	GO:0008150|0.902	GO:0009987|0.581
CAH2_CHICK	GO:0005575|0.592	GO:0110165|0.556	GO:0008150|0.814	GO:0009987|0.302
KLOT_RAT	GO:0005575|0.757	GO:0110165|0.729	GO:0008150|0.838	GO:0009987|0.306
TYY1_HUMAN	GO:0005575|0.607	GO:0110165|0.533	GO:0008150|0.867	GO:0009987|0.393
GPC6A_RAT	GO:0005575|0.772	GO:0110165|0.742	GO:0008150|0.894	GO:0009987|0.471
ADA28_HUMAN	GO:0005575|0.777	GO:0110165|0.759	GO:0008150|0.905	GO:0009987|0.433
NAA25_YEAST	GO:0005575|0.807	GO:0110165|0.754	GO:0008150|0.777	GO:0009987|0.351
XLF1_SCHPO	GO:0005575|0.741	GO:0110165|0.698	GO:0008150|0.844	GO:0009987|0.394
RSSA1_ARATH	GO:0005575|0.743	GO:0110165|0.715	GO:0008150|0.866	GO:0009987|0.433
ARK1_CAEEL	GO:0005575|0.771	GO:0110165|0.736	GO:0008150|0.841	GO:0009987|0.367
ROCK1_BOVIN	GO:0005575|0.834	GO:0110165|0.794	GO:0008150|0.740	GO:0009987|0.412
NPTX2_MOUSE	GO:0005575|0.761	GO:0110165|0.740	GO:0008150|0.846	GO:0009987|0.419
CB1A_ARATH	GO:0005575|0.738	GO:0110165|0.658	GO:0008150|0.763	GO:0009987|0.326
PRP1_BOMMO	GO:0005575|0.706	GO:0110165|0.678	GO:0008150|0.796	GO:0009987|0.385
V_NIPAV	GO:0005575|0.751	GO:0110165|0.723	GO:0008150|0.810	GO:0009987|0.355
RNZ_YEAST	GO:0005575|0.761	GO:0110165|0.722	GO:0008150|0.801	GO:0009987|0.327
ALLS_ECOLI	GO:0005575|0.686	GO:0110165|0.654	GO:0008150|0.721
PUB25_ARATH	GO:0005575|0.720	GO:0110165|0.628	GO:0008150|0.738
FACE1_MOUSE	GO:0005575|0.850	GO:0110165|0.816	GO:0008150|0.829	GO:0009987|0.390
PPBN_MOUSE	GO:0005575|0.760	GO:0110165|0.749	GO:0008150|0.836	GO:0009987|0.366
4EBP1_MOUSE	GO:0005575|0.761	GO:0110165|0.746	GO:0008150|0.743	GO:0009987|0.335
CSN5A_ARATH	GO:0005575|0.734	GO:0110165|0.683	GO:0008150|0.724
VPS36_HUMAN	GO:0005575|0.668	GO:0110165|0.646	GO:0008150|0.805	GO:0009987|0.334
YBOX3_RAT	GO:0005575|0.703	GO:0110165|0.703	GO:0008150|0.657
ADT3_YEAST	GO:0005575|0.684	GO:0110165|0.660	GO:0008150|0.703
DPN_DROME	GO:0005575|0.661	GO:0110165|0.639	GO:0008150|0.831	GO:0009987|0.326
YERE_SCHPO	GO:0005575|0.734	GO:0110165|0.668	GO:0008150|0.835	GO:0009987|0.407
CSLE1_ARATH	GO:0005575|0.772	GO:0110165|0.759	GO:0008150|0.832	GO:0009987|0.333
TOM7_YEAST	GO:0005575|0.582	GO:0110165|0.531	GO:0008150|0.550
RS12B_SCHPO	GO:0005575|0.562	GO:0110165|0.523	GO:0008150|0.887	GO:0009987|0.468
NINJ1_HUMAN	GO:0005575|0.846	GO:0110165|0.824	GO:0008150|0.881	GO:0009987|0.469
PA1D_LITPA	GO:0005575|0.676	GO:0110165|0.580	GO:0008150|0.905	GO:0009987|0.405	GO:0050896|0.517	GO:0050789|0.337	GO:0065007|0.454	GO:0006950|0.425	GO:0006952|0.369	GO:0005576|0.413
ENT7_ARATH	GO:0005575|0.725	GO:0110165|0.677	GO:0008150|0.874	GO:0009987|0.386
ATPA_CAEEL	GO:0005575|0.736	GO:0110165|0.707	GO:0008150|0.628
SCF_HUMAN	GO:0005575|0.844	GO:0110165|0.811	GO:0008150|0.753	GO:0009987|0.380
IMMT2_CAEEL	GO:0005575|0.854	GO:0110165|0.836	GO:0008150|0.543
ERV14_YEAST	GO:0005575|0.816	GO:0110165|0.789	GO:0008150|0.740	GO:0009987|0.306
CH037_HUMAN	GO:0005575|0.799	GO:0110165|0.772	GO:0008150|0.802	GO:0009987|0.435
RAC2_DROME	GO:0005575|0.685	GO:0110165|0.629	GO:0008150|0.809	GO:0009987|0.398
ROG1_YEAST	GO:0005575|0.756	GO:0110165|0.731	GO:0008150|0.759	GO:0009987|0.355
CMLO_XENLA	GO:0005575|0.765	GO:0110165|0.733	GO:0008150|0.866	GO:0009987|0.461
YQJF_ECOLI	GO:0005575|0.708	GO:0110165|0.659	GO:0008150|0.869	GO:0009987|0.439
RBOHA_ARATH	GO:0005575|0.756	GO:0110165|0.722	GO:0008150|0.711
IF4EA_DANRE	GO:0005575|0.679	GO:0110165|0.650	GO:0008150|0.823	GO:0009987|0.332
